S,X,Y
1,a,12.477961532
2,b,5.9751979472
3,a,7.7810882381
4,b,16.940324422
5,a,10.526902252
6,b,4.6754368489
7,a,9.8996364516
8,b,23.608036705
9,a,2.0410003697
10,b,5.2570794196
11,a,43.238041123
12,b,13.20271447
13,a,8.3525698838
14,b,5.3776583979
15,a,16.142960888
16,b,1.9016923974
17,a,1.3721290531
18,b,12.738519457
19,a,2.9033494451
20,b,25.792197703
21,a,17.126095247
22,b,2.447714704
23,a,2.8713131208
24,b,15.202086089
25,a,18.64321394
26,b,2.3929632474
27,a,19.223865508
28,b,7.4441275086
29,a,11.910131284
30,b,0.3063856714
31,a,28.160597557
32,b,0.3076472358
33,a,0.9510162783
34,b,8.1511339048
35,a,29.784731431
36,b,16.084901336
37,a,27.193425547
38,b,0.486896041
39,a,24.095312871
40,b,5.5566600783
41,a,11.106271528
42,b,1.1458869031
43,a,4.7576431925
44,b,21.34779852
45,a,26.420451521
46,b,13.123384422
47,a,7.4181205223
48,b,3.4664411973
49,a,3.846733705
50,b,5.2867301152
51,a,17.154548162
52,b,5.4461303806
53,a,0.9054512169
54,b,1.3212233975
55,a,3.8507515015
56,b,2.1944379411
57,a,11.379624037
58,b,12.411643133
59,a,2.3017753666
60,b,1.8519916621
