S,X,Y
1,a,10.34536648
2,b,1.4092657137
3,a,6.4339785005
4,b,3.0925453099
5,a,3.9431867511
6,b,2.6968946351
7,a,4.5074244066
8,b,2.8381277654
9,a,5.4514570793
10,b,11.115251207
11,a,5.3083929112
12,b,2.2638499472
13,a,6.5733297373
14,b,5.0526639939
15,a,3.5641340884
16,b,3.2504148895
17,a,10.281265892
18,b,2.9873870277
19,a,3.6567358413
20,b,2.7732018336
21,a,5.0891418562
22,b,4.1627215847
23,a,3.178079257
24,b,2.7235124835
25,a,6.3691243007
26,b,2.9081411469
27,a,6.6698721037
28,b,10.403258817
29,a,6.2248283241
30,b,4.6110244473
31,a,7.8671332537
32,b,1.7290824597
33,a,10.253358792
34,b,2.7358657719
35,a,7.0405829812
36,b,1.9786643861
37,a,8.1013510259
38,b,5.2390106198
39,a,4.9650829458
40,b,4.5807820056
41,a,3.6479628872
42,b,3.7589948736
43,a,10.607848815
44,b,7.075105304
45,a,9.7038946179
46,b,5.2025991686
47,a,7.7350027241
48,b,3.2787315522
49,a,1.9427409754
50,b,6.0523752588
51,a,6.6216946905
52,b,2.0100156005
53,a,7.1762348966
54,b,7.1360014656
55,a,3.7080159762
56,b,5.2856704414
57,a,6.2773081533
58,b,1.7798247581
59,a,3.9047264014
60,b,4.3884191613
