S,X,Y
1,a,18.308268535
2,b,5.9513419772
3,a,5.7399535286
4,b,5.932270438
5,a,21.378222217
6,b,25.155509199
7,a,20.848273666
8,b,6.5333537858
9,a,8.6839728387
10,b,11.213393421
11,a,6.5179059294
12,b,19.214860983
13,a,1.0843470821
14,b,11.62016711
15,a,1.3346830557
16,b,12.304836386
17,a,14.400185815
18,b,18.914468319
19,a,3.369996077
20,b,5.535679022
21,a,18.060180785
22,b,46.57909454
23,a,4.9654545583
24,b,49.40652581
25,a,5.109581964
26,b,17.780046962
27,a,71.043713677
28,b,44.071245248
29,a,0.7199563256
30,b,24.294002194
31,a,10.516409161
32,b,3.9256219073
33,a,4.761357846
34,b,5.4850814154
35,a,43.644436149
36,b,6.2232397182
37,a,13.095282017
38,b,20.245429624
39,a,9.5849160158
40,b,75.408279495
41,a,8.3571925722
42,b,6.1067987846
43,a,11.183719542
44,b,7.077781217
45,a,1.2683344713
46,b,3.9585023626
47,a,3.4166214576
48,b,11.192864673
49,a,7.4988330636
50,b,5.3224607591
51,a,0.9680462411
52,b,73.872065763
53,a,48.062747834
54,b,1.6103703393
55,a,9.4808808668
56,b,23.009123459
57,a,7.4077653104
58,b,23.914840275
59,a,3.0293675956
60,b,6.8687945213
