S,X,Y
1,a,22
2,b,11
3,a,16
4,b,9
5,a,8
6,b,16
7,a,13
8,b,4
9,a,18
10,b,10
11,a,15
12,b,6
13,a,27
14,b,19
15,a,15
16,b,14
17,a,22
18,b,20
19,a,36
20,b,10
21,a,13
22,b,7
23,a,37
24,b,19
25,a,30
26,b,11
27,a,10
28,b,16
29,a,7
30,b,9
31,a,13
32,b,14
33,a,14
34,b,19
35,a,23
36,b,5
37,a,7
38,b,5
39,a,25
40,b,1
41,a,6
42,b,6
43,a,28
44,b,8
45,a,20
46,b,13
47,a,14
48,b,11
49,a,4
50,b,8
51,a,10
52,b,19
53,a,6
54,b,14
55,a,30
56,b,29
57,a,26
58,b,8
59,a,11
60,b,16
