S,X1,X2,Y
1,a,a,20.2145
1,a,b,23.7485
1,a,c,20.796
2,a,a,20.8805
2,a,b,23.2595
2,a,c,19.1305
3,a,a,21.2635
3,a,b,23.4945
3,a,c,20.8545
4,a,a,20.708
4,a,b,23.922
4,a,c,18.2575
5,a,a,21.0075
5,a,b,23.47
5,a,c,17.7105
6,a,a,19.9115
6,a,b,24.2975
6,a,c,19.855
7,a,a,22.105
7,a,b,25.38
7,a,c,17.513
8,a,a,20.573
8,a,b,25.143
8,a,c,20.624
9,a,a,21.023
9,a,b,23.3525
9,a,c,17.593
10,a,a,20.1915
10,a,b,22.404
10,a,c,18.975
11,a,a,22.025
11,a,b,23.9685
11,a,c,21.0245
12,a,a,21.587
12,a,b,24.5555
12,a,c,18.4755
13,b,a,23.571
13,b,b,21.6545
13,b,c,12.941
14,b,a,23.6255
14,b,b,21.0405
14,b,c,11.123
15,b,a,23.9875
15,b,b,21.0105
15,b,c,11.515
16,b,a,23.4685
16,b,b,20.644
16,b,c,11.9435
17,b,a,23.556
17,b,b,21.061
17,b,c,13.578
18,b,a,24.405
18,b,b,22.2575
18,b,c,11.357
19,b,a,24.3895
19,b,b,22.051
19,b,c,9.4535
20,b,a,23.5765
20,b,b,21.241
20,b,c,11.038
21,b,a,24.882
21,b,b,20.9435
21,b,c,12.379
22,b,a,23.373
22,b,b,21.775
22,b,c,14.027
23,b,a,24.052
23,b,b,19.1295
23,b,c,12.8355
24,b,a,24.031
24,b,b,21.494
24,b,c,12.596
