S,X1,X2,Y
1,a,a,11.867339626
2,a,b,15.453745412
3,b,a,15.78241512
4,b,b,13.626553713
5,a,a,11.608195248
6,a,b,19.54067388
7,b,a,15.878828644
8,b,b,16.654610754
9,a,a,17.370245079
10,a,b,17.547025281
11,b,a,19.423109155
12,b,b,16.369146879
13,a,a,22.896627209
14,a,b,14.037503566
15,b,a,15.564129767
16,b,b,16.109281399
17,a,a,7.0280358276
18,a,b,21.50805896
19,b,a,17.644257179
20,b,b,16.054998766
21,a,a,4.5388002709
22,a,b,18.269594869
23,b,a,11.327721381
24,b,b,16.429411461
25,a,a,12.281647681
26,a,b,19.897359592
27,b,a,16.488643313
28,b,b,16.371620134
29,a,a,17.998658999
30,a,b,15.901520957
31,b,a,12.882978572
32,b,b,15.776042116
33,a,a,7.2213065745
34,a,b,21.708594926
35,b,a,8.7177170326
36,b,b,16.436618702
37,a,a,11.824483472
38,a,b,22.017226787
39,b,a,11.9596529
40,b,b,15.542096643
41,a,a,13.601971093
42,a,b,19.558600201
43,b,a,13.531237763
44,b,b,16.008394305
45,a,a,11.431000498
46,a,b,22.986946451
47,b,a,14.174007616
48,b,b,17.282264455
49,a,a,15.734353774
50,a,b,12.445034521
51,b,a,16.641435393
52,b,b,11.483359496
53,a,a,14.790761044
54,a,b,14.054523308
55,b,a,10.227339116
56,b,b,13.454269014
57,a,a,18.91580595
58,a,b,12.868889707
59,b,a,13.542875189
60,b,b,11.720463533
