S,X,Y
1,a,3.9287493243
2,b,3.5880788577
3,c,4.4360166063
4,a,5.3750080055
5,b,5.9861672935
6,c,8.9342092426
7,a,3.3584193363
8,b,4.5873359182
9,c,4.6663985758
10,a,5.3999449474
11,b,5.3230962537
12,c,2.2345597029
13,a,3.2050871857
14,b,4.2987914849
15,c,4.9683394874
16,a,2.8602642219
17,b,6.4311949503
18,c,5.4870477115
19,a,4.9209178955
20,b,6.0090036282
21,c,3.4498473378
22,a,5.8723565166
23,b,6.0688459095
24,c,9.2444580908
25,a,2.5666606877
26,b,9.0195789197
27,c,6.8441016878
28,a,2.7197559817
29,b,5.7844580551
30,c,3.2641245294
31,a,3.8831196193
32,b,2.8868115521
33,c,5.8298549099
34,a,4.2543445033
35,b,6.848069934
36,c,1.8209331292
37,a,5.0332666439
38,b,3.6843647602
39,c,6.1324941655
40,a,3.3864055184
41,b,6.5900428526
42,c,1.5520059286
43,a,2.1040985192
44,b,4.4481280331
45,c,6.0458156371
46,a,4.1394510661
47,b,9.8297456511
48,c,2.3555942602
49,a,5.7621580621
50,b,9.2690294009
51,c,4.5739342585
52,a,4.1122712314
53,b,6.4882723129
54,c,6.6052053736
55,a,2.0355187331
56,b,6.9430700369
57,c,4.657568306
58,a,5.3268735248
59,b,6.1637525822
60,c,3.1550156211
