S,X,Y
1,a,13.249397513
2,b,7.8230184296
3,c,8.6782811245
4,a,10.17893133
5,b,12.48454284
6,c,13.440795315
7,a,15.5994875
8,b,13.700642798
9,c,10.888262081
10,a,11.532677761
11,b,9.3938757022
12,c,17.061716245
13,a,20.617631488
14,b,7.5262150249
15,c,13.714911782
16,a,19.980605802
17,b,13.479996344
18,c,2.5594855351
19,a,11.970040153
20,b,13.148889048
21,c,9.9028042679
22,a,12.807006696
23,b,11.138218298
24,c,13.051748025
25,a,4.2026507455
26,b,11.296804254
27,c,16.035584378
28,a,13.465321882
29,b,8.2493715809
30,c,17.144601165
31,a,13.613963352
32,b,12.726859126
33,c,12.821204819
34,a,9.3019217082
35,b,7.9215273213
36,c,10.278343769
37,a,12.52827423
38,b,12.108274655
39,c,17.002079397
40,a,17.088884935
41,b,13.664093415
42,c,2.9578357937
43,a,16.596024995
44,b,11.96596565
45,c,10.802989917
46,a,11.590480732
47,b,11.86872383
48,c,13.965784684
49,a,18.02415584
50,b,11.521701916
51,c,13.940416492
52,a,18.765615613
53,b,9.9789779125
54,c,13.348761315
55,a,11.618599888
56,b,9.88216085
57,c,17.449179165
58,a,11.333702559
59,b,7.5348084351
60,c,12.900651753
