S,X,Y
1,a,11
2,b,17
3,c,20
4,a,25
5,b,11
6,c,9
7,a,5
8,b,9
9,c,21
10,a,12
11,b,13
12,c,28
13,a,30
14,b,10
15,c,15
16,a,16
17,b,18
18,c,34
19,a,6
20,b,17
21,c,38
22,a,5
23,b,9
24,c,26
25,a,4
26,b,15
27,c,16
28,a,12
29,b,11
30,c,32
31,a,11
32,b,9
33,c,8
34,a,20
35,b,34
36,c,13
37,a,17
38,b,17
39,c,21
40,a,15
41,b,11
42,c,34
43,a,29
44,b,6
45,c,36
46,a,13
47,b,17
48,c,4
49,a,6
50,b,12
51,c,40
52,a,24
53,b,20
54,c,8
55,a,17
56,b,14
57,c,48
58,a,22
59,b,11
60,c,17
