S,X1,X2,Y
1,a,a,x
2,a,b,y
3,b,a,y
4,b,b,y
5,a,a,x
6,a,b,y
7,b,a,y
8,b,b,x
9,a,a,x
10,a,b,y
11,b,a,x
12,b,b,x
13,a,a,x
14,a,b,x
15,b,a,x
16,b,b,x
17,a,a,y
18,a,b,x
19,b,a,y
20,b,b,x
21,a,a,x
22,a,b,x
23,b,a,y
24,b,b,y
25,a,a,x
26,a,b,y
27,b,a,x
28,b,b,x
29,a,a,x
30,a,b,y
31,b,a,y
32,b,b,x
33,a,a,x
34,a,b,y
35,b,a,y
36,b,b,x
37,a,a,x
38,a,b,y
39,b,a,y
40,b,b,y
41,a,a,x
42,a,b,x
43,b,a,y
44,b,b,y
45,a,a,x
46,a,b,y
47,b,a,x
48,b,b,y
49,a,a,x
50,a,b,x
51,b,a,x
52,b,b,y
53,a,a,x
54,a,b,x
55,b,a,y
56,b,b,x
57,a,a,x
58,a,b,x
59,b,a,y
60,b,b,y
