S,X1,X2,Y
1,a,a,7.2102219252
2,a,b,4.5113293419
3,b,a,8.7505327843
4,b,b,4.6361699044
5,a,a,5.0596938394
6,a,b,3.9062509807
7,b,a,4.1440639095
8,b,b,2.8902446021
9,a,a,11.229606508
10,a,b,5.079604804
11,b,a,4.4083228028
12,b,b,9.2665587113
13,a,a,3.8513755433
14,a,b,6.3233900567
15,b,a,3.8706063824
16,b,b,3.8846000706
17,a,a,4.1556131494
18,a,b,3.0567399446
19,b,a,6.2834518004
20,b,b,3.0603574389
21,a,a,4.5686460153
22,a,b,6.7685200075
23,b,a,8.2471222744
24,b,b,8.0011268076
25,a,a,4.2764943373
26,a,b,13.512097609
27,b,a,6.0085615505
28,b,b,3.4462831629
29,a,a,1.7792868255
30,a,b,8.3406240793
31,b,a,9.3455913827
32,b,b,1.085753902
33,a,a,2.5021162191
34,a,b,6.7098632325
35,b,a,5.1534188163
36,b,b,5.5868266846
37,a,a,4.4246490265
38,a,b,4.1738386675
39,b,a,4.0572345432
40,b,b,1.8480686737
41,a,a,3.2877019075
42,a,b,3.3696639341
43,b,a,7.7801912121
44,b,b,5.2550384539
45,a,a,2.4167724431
46,a,b,9.0001911471
47,b,a,4.3001196944
48,b,b,9.6373932397
49,a,a,5.1065685004
50,a,b,2.5216876102
51,b,a,3.8055437728
52,b,b,3.6741060037
53,a,a,2.0274222694
54,a,b,4.0064123124
55,b,a,5.3299774345
56,b,b,4.9185866864
57,a,a,3.446185097
58,a,b,7.7867443555
59,b,a,5.9590184939
60,b,b,9.2545598404
