S,X1,X2,Y
1,a,a,9.5878380524
2,a,b,9.2172842673
3,b,a,10.66348927
4,b,b,14.932123186
5,a,a,5.1579083866
6,a,b,11.025094365
7,b,a,10.741292376
8,b,b,3.1691207725
9,a,a,10.863237905
10,a,b,6.2448446251
11,b,a,14.949621187
12,b,b,10.081778344
13,a,a,6.1670018278
14,a,b,7.7618710565
15,b,a,12.335185144
16,b,b,8.2125903971
17,a,a,6.5527678241
18,a,b,10.075765521
19,b,a,13.76524676
20,b,b,9.0383983915
21,a,a,5.7858153642
22,a,b,11.01560711
23,b,a,8.9322863981
24,b,b,8.3364001401
25,a,a,5.5884441284
26,a,b,15.682891862
27,b,a,12.302647418
28,b,b,8.0035003996
29,a,a,12.928824273
30,a,b,6.7783606955
31,b,a,9.1378017802
32,b,b,12.010413637
33,a,a,2.7704355157
34,a,b,9.0956330128
35,b,a,10.6639002
36,b,b,10.829381692
37,a,a,13.236273751
38,a,b,9.959419508
39,b,a,11.759276319
40,b,b,9.8052705849
41,a,a,8.6580975534
42,a,b,5.5526885751
43,b,a,15.92783064
44,b,b,11.551313311
45,a,a,4.8663466532
46,a,b,4.3705071311
47,b,a,11.931481277
48,b,b,14.526712714
49,a,a,10.012206934
50,a,b,7.6275113614
51,b,a,10.498256399
52,b,b,6.1827786464
53,a,a,14.811541825
54,a,b,10.116768624
55,b,a,8.7124239767
56,b,b,10.692315176
57,a,a,7.2771415392
58,a,b,7.0890624453
59,b,a,11.02617735
60,b,b,5.6633423634
