S,X1,X2,Y
1,a,a,1
2,a,b,1
3,b,a,2
4,b,b,9
5,a,a,0
6,a,b,1
7,b,a,1
8,b,b,7
9,a,a,2
10,a,b,2
11,b,a,6
12,b,b,1
13,a,a,2
14,a,b,3
15,b,a,3
16,b,b,1
17,a,a,2
18,a,b,3
19,b,a,10
20,b,b,4
21,a,a,8
22,a,b,2
23,b,a,3
24,b,b,3
25,a,a,4
26,a,b,4
27,b,a,12
28,b,b,9
29,a,a,1
30,a,b,0
31,b,a,4
32,b,b,5
33,a,a,0
34,a,b,4
35,b,a,3
36,b,b,5
37,a,a,4
38,a,b,0
39,b,a,3
40,b,b,4
41,a,a,4
42,a,b,3
43,b,a,3
44,b,b,0
45,a,a,2
46,a,b,1
47,b,a,7
48,b,b,5
49,a,a,3
50,a,b,0
51,b,a,6
52,b,b,5
53,a,a,3
54,a,b,2
55,b,a,0
56,b,b,15
57,a,a,2
58,a,b,7
59,b,a,2
60,b,b,10
