S,X1,X2,Y
1,a,a,7
2,a,b,3
3,b,a,3
4,b,b,2
5,a,a,5
6,a,b,4
7,b,a,3
8,b,b,6
9,a,a,4
10,a,b,2
11,b,a,6
12,b,b,3
13,a,a,2
14,a,b,5
15,b,a,5
16,b,b,1
17,a,a,7
18,a,b,5
19,b,a,2
20,b,b,4
21,a,a,4
22,a,b,2
23,b,a,2
24,b,b,1
25,a,a,1
26,a,b,4
27,b,a,3
28,b,b,1
29,a,a,3
30,a,b,4
31,b,a,7
32,b,b,1
33,a,a,7
34,a,b,2
35,b,a,5
36,b,b,1
37,a,a,7
38,a,b,1
39,b,a,2
40,b,b,4
41,a,a,3
42,a,b,1
43,b,a,2
44,b,b,6
45,a,a,4
46,a,b,1
47,b,a,4
48,b,b,3
49,a,a,6
50,a,b,7
51,b,a,1
52,b,b,3
53,a,a,1
54,a,b,2
55,b,a,7
56,b,b,2
57,a,a,6
58,a,b,6
59,b,a,7
60,b,b,1
