S,X1,X2,Y
1,a,a,5
2,a,b,6
3,b,a,7
4,b,b,4
5,a,a,4
6,a,b,6
7,b,a,6
8,b,b,4
9,a,a,4
10,a,b,9
11,b,a,7
12,b,b,2
13,a,a,3
14,a,b,3
15,b,a,3
16,b,b,7
17,a,a,5
18,a,b,4
19,b,a,8
20,b,b,3
21,a,a,7
22,a,b,4
23,b,a,4
24,b,b,3
25,a,a,3
26,a,b,7
27,b,a,3
28,b,b,1
29,a,a,2
30,a,b,2
31,b,a,6
32,b,b,3
33,a,a,2
34,a,b,5
35,b,a,4
36,b,b,6
37,a,a,7
38,a,b,6
39,b,a,5
40,b,b,4
41,a,a,6
42,a,b,1
43,b,a,4
44,b,b,2
45,a,a,3
46,a,b,5
47,b,a,6
48,b,b,6
49,a,a,5
50,a,b,5
51,b,a,7
52,b,b,7
53,a,a,4
54,a,b,2
55,b,a,8
56,b,b,4
57,a,a,3
58,a,b,5
59,b,a,6
60,b,b,2
