S,X,Y
1,a,5.433744173
1,b,8.7896427923
1,c,7.68996746
2,a,3.2181574072
2,b,7.0613751037
2,c,3.2290472614
3,a,3.065796685
3,b,4.5797467348
3,c,4.4481596129
4,a,5.065054748
4,b,3.371524168
4,c,2.328273747
5,a,3.6888601189
5,b,2.5116271906
5,c,3.406607532
6,a,10.495120252
6,b,3.3534112663
6,c,1.6826771561
7,a,6.5954074753
7,b,2.4017493728
7,c,2.6551050339
8,a,1.890781709
8,b,1.7562012852
8,c,0.9823084676
9,a,3.6545535083
9,b,6.858477944
9,c,0.7198988699
10,a,4.6064786899
10,b,5.8535069982
10,c,2.1715932191
11,a,9.8928133781
11,b,9.8282519414
11,c,3.0670997707
12,a,5.485990468
12,b,2.7843952251
12,c,6.4027371145
13,a,11.08728812
13,b,4.1136736159
13,c,1.2104290122
14,a,3.0773460266
14,b,3.4394358736
14,c,3.1115942243
15,a,8.9906815098
15,b,5.0136793522
15,c,1.3117430092
16,a,4.0220574617
16,b,10.958993694
16,c,4.8822324985
17,a,4.6851030702
17,b,4.0762199559
17,c,2.7107571846
18,a,4.0373542384
18,b,6.4868567516
18,c,1.6253112404
19,a,4.5415981858
19,b,4.1159749787
19,c,3.9642974884
20,a,4.7732260692
20,b,6.3182330408
20,c,1.9571980196
