S,X,Y
1,a,5.6115936856
1,b,18.491833077
1,c,14.776958987
2,a,13.046133865
2,b,13.551060572
2,c,10.164030122
3,a,17.629644665
3,b,8.8583868026
3,c,21.471458921
4,a,9.7384323522
4,b,15.399290581
4,c,16.602276916
5,a,-0.407002775
5,b,10.224942134
5,c,11.330381977
6,a,19.852367195
6,b,10.169226549
6,c,15.701980897
7,a,18.285171659
7,b,17.365635515
7,c,20.723497996
8,a,5.1825371461
8,b,10.72365411
8,c,18.418332845
9,a,12.740504652
9,b,11.802069649
9,c,17.230344751
10,a,9.1037923337
10,b,14.803264319
10,c,17.385343863
11,a,16.386090778
11,b,16.514696904
11,c,13.706555662
12,a,14.335252534
12,b,11.195705795
12,c,17.437426742
13,a,15.427277113
13,b,12.048304135
13,c,16.619427792
14,a,13.219439248
14,b,14.398963419
14,c,12.920538936
15,a,18.368486544
15,b,16.787213218
15,c,9.1483134446
16,a,10.29552754
16,b,10.179529333
16,c,14.672308648
17,a,17.010405307
17,b,14.330504383
17,c,14.084293711
18,a,9.3607419674
18,b,11.123553117
18,c,15.39140926
19,a,15.507676921
19,b,13.716358437
19,c,15.504283314
20,a,14.837293415
20,b,10.333903778
20,c,19.607912913
