S,X1,X2,Y
1,a,a,y
1,a,b,y
1,b,a,y
1,b,b,x
2,a,a,y
2,a,b,x
2,b,a,x
2,b,b,x
3,a,a,y
3,a,b,x
3,b,a,x
3,b,b,x
4,a,a,x
4,a,b,x
4,b,a,x
4,b,b,y
5,a,a,y
5,a,b,x
5,b,a,x
5,b,b,y
6,a,a,y
6,a,b,x
6,b,a,x
6,b,b,x
7,a,a,y
7,a,b,y
7,b,a,x
7,b,b,x
8,a,a,x
8,a,b,y
8,b,a,x
8,b,b,y
9,a,a,y
9,a,b,x
9,b,a,x
9,b,b,y
10,a,a,y
10,a,b,x
10,b,a,y
10,b,b,x
11,a,a,y
11,a,b,y
11,b,a,x
11,b,b,x
12,a,a,x
12,a,b,x
12,b,a,y
12,b,b,x
13,a,a,y
13,a,b,x
13,b,a,x
13,b,b,y
14,a,a,x
14,a,b,x
14,b,a,x
14,b,b,y
15,a,a,y
15,a,b,x
15,b,a,y
15,b,b,y
