S,X1,X2,Y
1,a,a,2.721476508
1,a,b,7.3874576754
1,b,a,4.2570704749
1,b,b,6.9288469157
2,a,a,3.4258976987
2,a,b,9.0991570679
2,b,a,6.485400573
2,b,b,2.6953123537
3,a,a,3.1669082156
3,a,b,1.3254826002
3,b,a,3.2373319187
3,b,b,4.860851241
4,a,a,4.0272544442
4,a,b,4.4957481992
4,b,a,9.6418140815
4,b,b,5.530068858
5,a,a,1.9774766101
5,a,b,2.5171563979
5,b,a,9.8007911464
5,b,b,2.6429040147
6,a,a,3.447027935
6,a,b,3.0137234094
6,b,a,5.3680789361
6,b,b,1.451501335
7,a,a,4.5479683677
7,a,b,4.7855799014
7,b,a,2.8414538438
7,b,b,2.6881022944
8,a,a,3.4331690215
8,a,b,4.008219152
8,b,a,3.8215812255
8,b,b,2.3110100827
9,a,a,3.2248312873
9,a,b,3.5191985281
9,b,a,3.0818396334
9,b,b,0.7289217555
10,a,a,1.8489802247
10,a,b,1.1545031586
10,b,a,3.7251590693
10,b,b,5.6416789368
11,a,a,6.4375238013
11,a,b,4.5640663182
11,b,a,3.9067783949
11,b,b,2.6272860248
12,a,a,2.7525300342
12,a,b,4.8299488084
12,b,a,6.6831053839
12,b,b,1.8257257303
13,a,a,1.660522856
13,a,b,8.0108080576
13,b,a,6.8259584317
13,b,b,2.1389663266
14,a,a,2.1478154513
14,a,b,3.5613203979
14,b,a,1.6332724179
14,b,b,2.8183701782
15,a,a,1.3976741468
15,a,b,1.7907357439
15,b,a,12.46328868
15,b,b,4.194401621
