S,X1,X2,Y
1,a,a,2.6901338495
1,a,b,13.53851823
1,b,a,13.054928813
1,b,b,6.5389526934
2,a,a,9.3260939356
2,a,b,-1.383351678
2,b,a,12.473416215
2,b,b,12.328571723
3,a,a,9.4977670698
3,a,b,3.9266168069
3,b,a,11.856368852
3,b,b,4.3535101656
4,a,a,5.233430196
4,a,b,4.8151443104
4,b,a,13.103281875
4,b,b,11.857365717
5,a,a,6.9927096279
5,a,b,17.613582742
5,b,a,11.374190477
5,b,b,11.399906863
6,a,a,10.063987668
6,a,b,8.9155302059
6,b,a,13.518489987
6,b,b,13.703940242
7,a,a,3.591308237
7,a,b,14.771502178
7,b,a,11.982964175
7,b,b,12.09536137
8,a,a,11.081579979
8,a,b,17.410797965
8,b,a,12.089878134
8,b,b,7.8836951117
9,a,a,8.9490499559
9,a,b,14.776046132
9,b,a,12.977928361
9,b,b,8.668353556
10,a,a,14.014008154
10,a,b,5.1807935709
10,b,a,9.2822841889
10,b,b,11.884298023
11,a,a,14.968659238
11,a,b,13.587681065
11,b,a,13.948188434
11,b,b,9.3422395447
12,a,a,6.5896545004
12,a,b,10.853762248
12,b,a,12.390683133
12,b,b,9.8422581404
13,a,a,7.8908552061
13,a,b,16.719422056
13,b,a,14.412127273
13,b,b,11.066364032
14,a,a,8.5266592538
14,a,b,3.6605626244
14,b,a,10.70543303
14,b,b,12.416485463
15,a,a,10.058887048
15,a,b,20.579370042
15,b,a,14.577196453
15,b,b,10.740356543
