S,X1,X2,Y
1,a,a,x
1,a,b,x
1,b,a,x
1,b,b,y
2,a,a,y
2,a,b,x
2,b,a,x
2,b,b,y
3,a,a,x
3,a,b,x
3,b,a,x
3,b,b,y
4,a,a,y
4,a,b,x
4,b,a,x
4,b,b,y
5,a,a,y
5,a,b,z
5,b,a,y
5,b,b,y
6,a,a,x
6,a,b,x
6,b,a,x
6,b,b,x
7,a,a,x
7,a,b,z
7,b,a,y
7,b,b,y
8,a,a,y
8,a,b,z
8,b,a,z
8,b,b,y
9,a,a,y
9,a,b,y
9,b,a,z
9,b,b,y
10,a,a,y
10,a,b,z
10,b,a,x
10,b,b,y
11,a,a,y
11,a,b,x
11,b,a,z
11,b,b,y
12,a,a,z
12,a,b,z
12,b,a,y
12,b,b,x
13,a,a,z
13,a,b,x
13,b,a,x
13,b,b,x
14,a,a,x
14,a,b,z
14,b,a,x
14,b,b,x
15,a,a,y
15,a,b,z
15,b,a,x
15,b,b,z
