S,X1,X2,Y
1,a,a,7
1,a,b,8
1,b,a,13
1,b,b,17
2,a,a,4
2,a,b,5
2,b,a,23
2,b,b,40
3,a,a,11
3,a,b,5
3,b,a,7
3,b,b,16
4,a,a,7
4,a,b,17
4,b,a,14
4,b,b,8
5,a,a,10
5,a,b,12
5,b,a,17
5,b,b,15
6,a,a,9
6,a,b,24
6,b,a,17
6,b,b,10
7,a,a,12
7,a,b,14
7,b,a,34
7,b,b,25
8,a,a,11
8,a,b,9
8,b,a,28
8,b,b,11
9,a,a,10
9,a,b,10
9,b,a,11
9,b,b,22
10,a,a,8
10,a,b,11
10,b,a,23
10,b,b,15
11,a,a,27
11,a,b,24
11,b,a,19
11,b,b,18
12,a,a,9
12,a,b,36
12,b,a,19
12,b,b,18
13,a,a,12
13,a,b,39
13,b,a,10
13,b,b,27
14,a,a,2
14,a,b,26
14,b,a,10
14,b,b,18
15,a,a,14
15,a,b,16
15,b,a,19
15,b,b,46
