S,X1,X2,Y
1,a,a,5
1,a,b,7
1,b,a,3
1,b,b,5
2,a,a,3
2,a,b,7
2,b,a,2
2,b,b,4
3,a,a,5
3,a,b,4
3,b,a,7
3,b,b,3
4,a,a,5
4,a,b,5
4,b,a,7
4,b,b,4
5,a,a,5
5,a,b,5
5,b,a,1
5,b,b,3
6,a,a,2
6,a,b,5
6,b,a,4
6,b,b,5
7,a,a,4
7,a,b,5
7,b,a,2
7,b,b,4
8,a,a,3
8,a,b,5
8,b,a,7
8,b,b,2
9,a,a,2
9,a,b,4
9,b,a,7
9,b,b,4
10,a,a,1
10,a,b,1
10,b,a,6
10,b,b,1
11,a,a,4
11,a,b,6
11,b,a,4
11,b,b,3
12,a,a,1
12,a,b,2
12,b,a,5
12,b,b,4
13,a,a,2
13,a,b,7
13,b,a,4
13,b,b,5
14,a,a,1
14,a,b,3
14,b,a,2
14,b,b,5
15,a,a,4
15,a,b,2
15,b,a,2
15,b,b,2
