S,X1,X2,Y
1,a,a,7
1,a,b,9
1,b,a,5
1,b,b,4
2,a,a,4
2,a,b,6
2,b,a,2
2,b,b,6
3,a,a,4
3,a,b,6
3,b,a,1
3,b,b,4
4,a,a,8
4,a,b,6
4,b,a,5
4,b,b,3
5,a,a,8
5,a,b,6
5,b,a,3
5,b,b,3
6,a,a,5
6,a,b,12
6,b,a,6
6,b,b,4
7,a,a,4
7,a,b,12
7,b,a,2
7,b,b,2
8,a,a,5
8,a,b,4
8,b,a,4
8,b,b,4
9,a,a,6
9,a,b,8
9,b,a,7
9,b,b,3
10,a,a,4
10,a,b,5
10,b,a,3
10,b,b,6
11,a,a,10
11,a,b,6
11,b,a,5
11,b,b,5
12,a,a,4
12,a,b,7
12,b,a,3
12,b,b,4
13,a,a,5
13,a,b,5
13,b,a,4
13,b,b,6
14,a,a,13
14,a,b,4
14,b,a,3
14,b,b,6
15,a,a,7
15,a,b,6
15,b,a,1
15,b,b,6
