S,X,Y
1,a,16.906062215
2,b,11.583855833
3,c,9.8212068703
4,a,9.9832349576
5,b,12.259762824
6,c,13.224217202
7,a,16.168296681
8,b,12.346153596
9,c,10.083903474
10,a,12.522738052
11,b,10.437293146
12,c,7.8498461144
13,a,14.581630729
14,b,12.862452974
15,c,9.0607266047
16,a,9.7139431296
17,b,11.409559904
18,c,9.7093076641
19,a,16.478418821
20,b,7.6990051554
21,c,8.8018522616
22,a,16.685556976
23,b,11.6512089
24,c,9.4597165245
25,a,13.317602169
26,b,7.2826444998
27,c,8.262809288
28,a,13.666371297
29,b,13.124162877
30,c,9.5273250896
31,a,8.5338687766
32,b,7.0329481068
33,c,9.7677202714
34,a,15.97764232
35,b,7.3013159661
36,c,12.867825681
37,a,16.895485986
38,b,13.397590795
39,c,12.826449612
40,a,13.862717088
41,b,11.043742855
42,c,11.262154108
43,a,14.065162764
44,b,9.5065006823
45,c,7.6119032281
46,a,11.727176808
47,b,13.727095661
48,c,10.126201339
49,a,9.8551883905
50,b,11.010934911
51,c,9.1795584566
52,a,15.017168604
53,b,13.856923953
54,c,10.462542136
55,a,9.2858869308
56,b,11.916522252
57,c,7.6839004811
58,a,16.552132077
59,b,9.1598919805
60,c,8.7533706015
