S,X,Y
1,a,8.1337831116
1,b,8.8620930146
1,c,8.9416384774
2,a,8.7376777227
2,b,9.969701319
2,c,12.963950779
3,a,7.9522280458
3,b,7.1051040469
3,c,9.3034680579
4,a,11.941387585
4,b,8.251948026
4,c,9.8937442917
5,a,8.8474774633
5,b,7.7535210596
5,c,12.373811291
6,a,8.0969418718
6,b,10.440534485
6,c,8.7581310871
7,a,9.5740167277
7,b,9.1722728787
7,c,12.348081477
8,a,10.777588438
8,b,10.244904936
8,c,10.104676239
9,a,7.5476687453
9,b,7.5777701847
9,c,12.702255256
10,a,8.8740801828
10,b,10.771035004
10,c,8.0734511681
11,a,10.245085292
11,b,8.792179089
11,c,12.587136662
12,a,7.0365156413
12,b,10.710486527
12,c,10.055762248
13,a,8.0692996776
13,b,10.096373017
13,c,8.7278423314
14,a,7.7812683552
14,b,9.6964470744
14,c,12.559602524
15,a,9.4067174934
15,b,9.8238204494
15,c,11.088675764
16,a,8.6080187901
16,b,7.6765975766
16,c,10.475590156
17,a,9.9917416978
17,b,8.1648358144
17,c,8.1103657542
18,a,7.4455151735
18,b,7.0320212273
18,c,8.3797353408
19,a,7.6603249675
19,b,8.6679594852
19,c,8.9518953366
20,a,8.0704970278
20,b,9.0696890512
20,c,9.5370940894
