S,X1,X2,Y
1,a,a,8.2364668867
2,a,b,12.965256358
3,b,a,10.782947003
4,b,b,7.385979427
5,a,a,12.041681127
6,a,b,12.779923875
7,b,a,11.581190487
8,b,b,9.529899104
9,a,a,12.658464243
10,a,b,14.159171901
11,b,a,9.5483674747
12,b,b,7.8599096611
13,a,a,10.39567769
14,a,b,10.385931662
15,b,a,12.512831352
16,b,b,8.0802906463
17,a,a,10.252031295
18,a,b,12.052792938
19,b,a,13.768799986
20,b,b,11.417578855
21,a,a,8.7640981406
22,a,b,14.075489639
23,b,a,11.98474923
24,b,b,11.116922375
25,a,a,12.357957944
26,a,b,10.133015462
27,b,a,12.596983703
28,b,b,8.8300530124
29,a,a,10.991660774
30,a,b,14.705560321
31,b,a,12.61712711
32,b,b,11.520330812
33,a,a,10.035310614
34,a,b,10.790593992
35,b,a,12.957156984
36,b,b,7.8951278841
37,a,a,9.7578598612
38,a,b,9.3892398155
39,b,a,9.7692817354
40,b,b,12.479934047
41,a,a,9.3574192533
42,a,b,10.34782646
43,b,a,11.534245062
44,b,b,8.7423664252
45,a,a,11.892947282
46,a,b,13.579860784
47,b,a,11.491473056
48,b,b,12.661536578
49,a,a,9.2495503412
50,a,b,9.0375949312
51,b,a,13.104309409
52,b,b,11.307126746
53,a,a,12.719689122
54,a,b,10.655966069
55,b,a,11.347869211
56,b,b,7.4028428788
57,a,a,11.08853026
58,a,b,12.716020149
59,b,a,9.1217662892
60,b,b,8.5776536069
