S,X1,X2,Y
1,a,a,13.177770573
1,a,b,13.299755033
1,b,a,9.909350144
1,b,b,16.45768357
2,a,a,11.770179615
2,a,b,14.80429603
2,b,a,9.819263645
2,b,b,13.90734441
3,a,a,8.5358723742
3,a,b,12.210063647
3,b,a,12.448764762
3,b,b,12.204887719
4,a,a,10.287867195
4,a,b,16.082882907
4,b,a,9.1969676993
4,b,b,9.6144372718
5,a,a,9.0401550485
5,a,b,16.885613099
5,b,a,10.184380807
5,b,b,14.435133677
6,a,a,9.6164468988
6,a,b,15.018564679
6,b,a,10.743263976
6,b,b,9.3202513005
7,a,a,11.229803812
7,a,b,15.440069314
7,b,a,8.7227276368
7,b,b,9.2185200348
8,a,a,8.5912397704
8,a,b,15.387500448
8,b,a,13.668099376
8,b,b,12.869684141
9,a,a,11.392982707
9,a,b,16.842036877
9,b,a,14.272004232
9,b,b,16.218508067
10,a,a,8.2229377087
10,a,b,9.2543180864
10,b,a,9.6590388236
10,b,b,13.748088007
11,a,a,13.968212187
11,a,b,14.566394774
11,b,a,12.295619785
11,b,b,16.464353292
12,a,a,13.813716378
12,a,b,12.04810665
12,b,a,8.158736923
12,b,b,12.611718146
13,a,a,10.306201671
13,a,b,16.5639116
13,b,a,11.354540227
13,b,b,9.8929874587
14,a,a,12.762910759
14,a,b,15.481863584
14,b,a,8.7249354699
14,b,b,16.07166055
15,a,a,10.460833861
15,a,b,13.04669052
15,b,a,14.977950556
15,b,b,10.847350784
