S,X,Y
1,a,9.3481759102
1,b,16.280812279
2,a,12.797245486
2,b,14.638420827
3,a,11.757035611
3,b,14.22141022
4,a,13.037474698
4,b,15.172092191
5,a,14.934822045
5,b,16.080186762
6,a,10.762074088
6,b,11.558914559
7,a,14.699568515
7,b,15.36424056
8,a,12.476782969
8,b,13.468384871
9,a,12.761169214
9,b,17.316533737
10,a,16.532901623
10,b,16.405974804
11,a,15.427640193
11,b,12.205668779
12,a,10.477832403
12,b,15.615123708
13,a,13.480478997
13,b,15.705410394
14,a,17.175823748
14,b,14.166053741
15,a,12.847604987
15,b,12.3747442
16,a,8.4456433547
16,b,13.260315792
17,a,11.969558158
17,b,14.842642525
18,a,14.427179378
18,b,14.51425435
19,a,14.474885097
19,b,12.364484236
20,a,14.436893166
20,b,11.413418748
21,a,9.0204017974
21,b,13.769039962
22,a,14.5412074
22,b,13.160277951
23,a,13.898586599
23,b,16.954599278
24,a,19.090317633
24,b,16.293786792
25,a,8.2692636394
25,b,14.391548964
26,a,13.698973126
26,b,10.659773618
27,a,15.224902417
27,b,11.263518964
28,a,11.250395572
28,b,12.214038424
29,a,12.916616624
29,b,14.943512315
30,a,14.300101947
30,b,20.62734716
