S,X,Y
1,a,14.310438874
2,b,17.390452586
3,c,12.501364781
4,a,17.943733975
5,b,10.597671172
6,c,9.6521771062
7,a,10.095837895
8,b,15.324131367
9,c,7.6496267651
10,a,13.517694953
11,b,13.702847766
12,c,19.033070185
13,a,11.871676328
14,b,12.177907773
15,c,7.7133736696
16,a,11.69895521
17,b,13.716288304
18,c,9.4926606393
19,a,17.384638129
20,b,13.506336086
21,c,8.1345416269
22,a,11.752054554
23,b,21.077632756
24,c,8.4567959356
25,a,17.290698161
26,b,11.232552373
27,c,12.406685245
28,a,16.92007674
29,b,17.775266799
30,c,13.801830981
31,a,18.38364783
32,b,11.9868719
33,c,8.9672255042
34,a,15.351446121
35,b,14.894198762
36,c,8.4788576669
37,a,10.963417098
38,b,13.675368679
39,c,15.271505865
40,a,14.29897456
41,b,10.446330909
42,c,4.0765960389
43,a,9.2060422838
44,b,13.619968733
45,c,5.2102122167
46,a,14.970930721
47,b,16.771525853
48,c,8.9194605464
49,a,13.302093698
50,b,14.158503423
51,c,12.549532474
52,a,10.718887845
53,b,13.135831383
54,c,4.3629665358
55,a,14.304508493
56,b,12.054803459
57,c,2.3537629647
58,a,10.46079312
59,b,15.741299587
60,c,2.5949885265
