S,X1,X2,Y
1,a,a,9.9399181242
2,a,b,12.271864632
3,b,a,11.062279322
4,b,b,12.763590587
5,a,a,7.980861458
6,a,b,10.46862569
7,b,a,21.071315184
8,b,b,15.270048244
9,a,a,22.125037156
10,a,b,10.95570864
11,b,a,14.496724137
12,b,b,12.731080076
13,a,a,14.110583022
14,a,b,13.587539234
15,b,a,13.17598974
16,b,b,14.313530136
17,a,a,11.59572693
18,a,b,13.723465503
19,b,a,17.276897987
20,b,b,14.945042432
21,a,a,10.423360248
22,a,b,9.7095104467
23,b,a,19.734704893
24,b,b,14.834632604
25,a,a,13.121830085
26,a,b,9.02307681
27,b,a,15.864849766
28,b,b,13.191732508
29,a,a,12.438853628
30,a,b,10.372961266
31,b,a,12.443928386
32,b,b,13.54623208
33,a,a,15.337436894
34,a,b,12.160072404
35,b,a,12.799300463
36,b,b,11.908691613
37,a,a,16.065058746
38,a,b,12.223828646
39,b,a,11.749763097
40,b,b,14.268633339
41,a,a,12.607989358
42,a,b,9.9404132203
43,b,a,18.19945401
44,b,b,14.537335914
45,a,a,17.869780666
46,a,b,10.618885073
47,b,a,13.726679803
48,b,b,15.050471723
49,a,a,9.3486850164
50,a,b,13.436099497
51,b,a,11.76434741
52,b,b,14.598104995
53,a,a,12.019910632
54,a,b,12.632590168
55,b,a,14.508945061
56,b,b,13.851553548
57,a,a,15.240510631
58,a,b,12.441182344
59,b,a,16.037122333
60,b,b,14.088115766
