S,X1,X2,Y
1,a,a,11.474921265
1,a,b,14.843102052
1,b,a,0.1430648796
1,b,b,15.021080603
2,a,a,16.948711501
2,a,b,12.908888024
2,b,a,7.3433619083
2,b,b,11.188521991
3,a,a,12.339707308
3,a,b,14.8390688
3,b,a,21.513175433
3,b,b,0.23902469
4,a,a,11.708125704
4,a,b,13.874049765
4,b,a,4.3615136736
4,b,b,2.3686943108
5,a,a,15.366856064
5,a,b,13.634039073
5,b,a,4.9401805523
5,b,b,13.57814638
6,a,a,15.598357283
6,a,b,16.88560369
6,b,a,5.6168131874
6,b,b,4.9861062623
7,a,a,16.693322483
7,a,b,13.220583272
7,b,a,26.865249992
7,b,b,9.4142950026
8,a,a,8.3517545189
8,a,b,4.8712680602
8,b,a,14.935548387
8,b,b,9.7199346195
9,a,a,10.55476667
9,a,b,14.686327662
9,b,a,3.1785045894
9,b,b,11.556551686
10,a,a,8.791224106
10,a,b,14.135658771
10,b,a,2.8750860694
10,b,b,7.6762165561
11,a,a,10.722147396
11,a,b,9.3608582943
11,b,a,4.9923812441
11,b,b,3.159217592
12,a,a,8.2092937208
12,a,b,8.0955329674
12,b,a,1.6156281041
12,b,b,9.6276266843
13,a,a,11.739496221
13,a,b,2.1941525089
13,b,a,0.4924124244
13,b,b,4.8127614361
14,a,a,8.2334844361
14,a,b,12.479401188
14,b,a,5.2460027713
14,b,b,8.8098783221
15,a,a,12.739989172
15,a,b,10.507323401
15,b,a,34.335258234
15,b,b,7.3303355328
